meter_split_seed,run_tag,robustness_run,result_dir,model,cluster,day_type,condition,n_real,n_synthetic,n_empirical_meta,acf_l2,crps,spectral_frechet,wasserstein
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,1,weekday,cluster1_weekday,141,200,4,0.5402369499206543,2.688501914422151,352.1004939759373,1.2947368682084772
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,1,weekend,cluster1_weekend,139,200,4,0.1502086818218231,3.209626334613501,247.73622508760167,1.0545309647937715
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,2,weekday,cluster2_weekday,63,200,4,0.4048548340797424,2.506570767699781,271.76649246443213,1.1645631909605052
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,2,weekend,cluster2_weekend,26,200,4,0.230568528175354,1.963491511903092,274.0233242949545,1.06033832349919
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,3,weekday,cluster3_weekday,272,200,4,0.202372670173645,3.802857685541289,1780.71182788454,2.039145666449587
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,3,weekend,cluster3_weekend,109,200,4,0.554429829120636,2.94273097984902,1989.8782676211677,2.718500314161705
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,4,weekday,cluster4_weekday,306,200,4,0.5491734743118286,3.871544782314623,841.7759703597204,2.4050194379512635
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,4,weekend,cluster4_weekend,118,200,4,0.3276305198669433,3.8985195635120418,361.4822781173171,2.5416897857124288
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,0,weekday,cluster0_weekday,278,200,4,0.3016635179519653,3.15211652735421,338.1338954652919,1.2826183880961386
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,0,weekend,cluster0_weekend,36,200,4,0.4439256489276886,2.3883573684432995,477.4491516420263,1.4518294443866513
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,1,weekday,cluster1_weekday,141,200,4,0.7977670431137085,2.776997931055841,518.2100568004525,1.6248546519291462
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,1,weekend,cluster1_weekend,139,200,4,0.3724675178527832,3.315765342762966,477.1862210591156,1.531396825179782
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,2,weekday,cluster2_weekday,63,200,4,0.3977504670619964,2.6294945825863767,286.3088527395575,1.5048945164770338
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,2,weekend,cluster2_weekend,26,200,4,0.5235846638679504,2.2339786602597203,514.4687742387783,1.7742261563164103
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,3,weekday,cluster3_weekday,272,200,4,0.4193056523799896,4.318728612710564,1953.0945314989624,3.1346706664794133
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,3,weekend,cluster3_weekend,109,200,4,0.6877342462539673,3.3133057290044494,2274.079687715951,3.3740821967776893
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,4,weekday,cluster4_weekday,306,200,4,0.4872716069221496,3.889276198986968,566.127383495856,2.347140043314629
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,diffusion,4,weekend,cluster4_weekend,118,200,4,0.4312011003494262,3.90252024473601,386.7947135261461,2.184014688539545
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,0,weekday,cluster0_weekday,278,200,4,0.3065500855445862,3.1224383294334697,350.6641362145884,1.238165912676091
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,0,weekend,cluster0_weekend,36,200,4,0.3002070188522339,2.29175598222216,263.41031846792987,1.1665253756633354
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,1,weekday,cluster1_weekday,141,200,4,0.6083217263221741,2.7228836347880936,419.10293003728384,1.4586310050785043
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,1,weekend,cluster1_weekend,139,200,4,0.3206762075424194,3.2530565294610514,224.77734399363925,1.2526855298222808
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,2,weekday,cluster2_weekday,63,200,4,0.2976053655147552,2.625322512894498,233.57683164096457,1.6435928077369275
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,2,weekend,cluster2_weekend,26,200,4,0.5242079496383667,2.203386439333054,590.3321269623701,1.6152653076341206
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,3,weekday,cluster3_weekday,272,200,4,0.4999146163463592,4.5587316057817615,3613.95791914442,3.837713567926972
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,3,weekend,cluster3_weekend,109,200,4,0.8137856125831604,3.2313562122530524,2814.711594629168,3.130847342806545
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,4,weekday,cluster4_weekday,306,200,4,0.4603765904903412,3.855448350530093,423.91720772341466,2.28080470917493
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,rf,4,weekend,cluster4_weekend,118,200,4,0.3250160813331604,3.832786531471322,190.39161624574612,2.059896257931064
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,0,weekday,cluster0_weekday,278,200,4,0.1251288205385208,3.0693789122172324,126.07375975385472,0.9558974046572534
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,0,weekend,cluster0_weekend,36,200,4,0.1862039566040039,2.264012566730932,269.8237406526177,1.1078781000912887
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,1,weekday,cluster1_weekday,141,200,4,0.7204851508140564,2.683850292404225,659.9234961648037,1.249303255150067
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,1,weekend,cluster1_weekend,139,200,4,0.3567547798156738,3.227859282621384,349.0102659015379,1.1037942996895695
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,2,weekday,cluster2_weekday,63,200,4,0.5203071236610413,2.5026369961903288,472.55641786780063,1.18167482221496
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,2,weekend,cluster2_weekend,26,200,4,0.2543804049491882,1.9753239915212,234.4446589334269,1.2420396407704857
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,3,weekday,cluster3_weekday,272,200,4,0.1746284663677215,3.806820161051873,1105.888183742613,1.9473174496564407
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,3,weekend,cluster3_weekend,109,200,4,0.3311119079589844,2.9061392473361085,1046.7813726605773,2.4766482791144844
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,4,weekday,cluster4_weekday,306,200,4,0.6501827239990234,3.9459436179683225,1255.596170024774,2.7621289831126794
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,cvae,4,weekend,cluster4_weekend,118,200,4,0.3843750357627868,3.9085996263143374,460.9063155916248,2.425960135977572
