meter_id,date,temp_normed,log_mean_z,log_std_z
0,2018-08-29,0.9735865,-1.1517617,-1.0480103
1,2018-08-29,0.9735865,-0.6222263,0.029413939
2,2018-08-29,0.9735865,-2.155907,-1.4020582
3,2018-08-29,0.9735865,0.05406385,0.5635701
4,2018-08-29,0.9735865,1.9016739,1.5689745
5,2018-08-29,0.9735865,1.1809812,0.700476
6,2018-08-29,0.9735865,1.2359813,2.1405568
7,2018-08-29,0.9735865,-0.9613084,-0.23749593
8,2018-08-29,0.9735865,-0.7403424,0.033073563
9,2018-08-29,0.9735865,0.0594044,-0.43926612
10,2018-08-29,0.9735865,0.97665244,1.1420283
11,2018-08-29,0.9735865,-0.4213067,0.007426267
12,2018-08-29,0.9735865,0.54938495,0.91667813
13,2018-08-29,0.9735865,-0.38033158,-0.22523959
14,2018-08-29,0.9735865,-0.82899934,0.2353608
15,2018-08-29,0.9735865,1.589128,0.15525907
16,2018-08-29,0.9735865,0.414627,0.87377334
17,2018-08-29,0.9735865,0.56714994,1.6101954
18,2018-08-29,0.9735865,-1.0111557,-0.35632503
19,2018-08-29,0.9735865,-0.4274299,0.167474
20,2018-08-29,0.9735865,0.9006387,0.7278148
21,2018-08-29,0.9735865,-2.187134,-1.49799
22,2018-08-29,0.9735865,-0.7272509,-0.2697011
23,2018-08-29,0.9735865,-0.98050845,-1.5858748
0,2018-08-30,0.7605041,-1.1468614,-0.99149543
1,2018-08-30,0.7605041,-0.589126,0.024849284
2,2018-08-30,0.7605041,-2.1377258,-1.686555
3,2018-08-30,0.7605041,-0.045439877,0.50568366
4,2018-08-30,0.7605041,1.7251188,1.6435087
5,2018-08-30,0.7605041,1.0644557,0.44368732
6,2018-08-30,0.7605041,1.2742406,2.1848037
7,2018-08-30,0.7605041,-1.0467081,-0.6042199
8,2018-08-30,0.7605041,-0.83903587,-0.1968212
9,2018-08-30,0.7605041,0.07244358,-0.13681865
10,2018-08-30,0.7605041,0.8596939,1.2073317
11,2018-08-30,0.7605041,-0.4474112,-0.035533197
12,2018-08-30,0.7605041,0.45262834,0.64746916
13,2018-08-30,0.7605041,-0.52349883,-0.52046657
14,2018-08-30,0.7605041,-1.1914792,0.45387968
15,2018-08-30,0.7605041,1.3867679,-0.16788211
16,2018-08-30,0.7605041,0.36460903,0.58453745
17,2018-08-30,0.7605041,0.58144295,1.7784718
18,2018-08-30,0.7605041,-0.9798804,-0.37589046
19,2018-08-30,0.7605041,-0.34467223,0.2434353
20,2018-08-30,0.7605041,0.88119924,0.99007314
21,2018-08-30,0.7605041,-2.35069,-1.7917801
22,2018-08-30,0.7605041,-0.7841022,-0.22972752
23,2018-08-30,0.7605041,-1.0341961,-1.1306918
0,2018-08-31,0.5020756,-1.256544,-1.4057426
1,2018-08-31,0.5020756,-0.57767874,-0.016349025
2,2018-08-31,0.5020756,-1.934094,-1.2803503
3,2018-08-31,0.5020756,-0.13826986,0.43687668
4,2018-08-31,0.5020756,1.4691737,1.234715
5,2018-08-31,0.5020756,1.1475052,0.59872985
6,2018-08-31,0.5020756,1.1739593,2.0691042
7,2018-08-31,0.5020756,-0.80111897,-0.8644704
8,2018-08-31,0.5020756,-0.58907646,-0.11937855
9,2018-08-31,0.5020756,0.53032947,0.6175412
10,2018-08-31,0.5020756,0.6439271,0.7123179
11,2018-08-31,0.5020756,-0.41133898,-0.27340847
12,2018-08-31,0.5020756,0.48076156,0.5813143
13,2018-08-31,0.5020756,-0.7437455,-0.74005485
14,2018-08-31,0.5020756,-1.0981933,0.55491257
15,2018-08-31,0.5020756,1.5310999,0.088201545
16,2018-08-31,0.5020756,0.37639853,0.52881765
17,2018-08-31,0.5020756,0.39823052,1.4489318
18,2018-08-31,0.5020756,-0.9765754,-0.51987875
19,2018-08-31,0.5020756,-0.3366144,0.06823969
20,2018-08-31,0.5020756,0.91142535,0.2694631
21,2018-08-31,0.5020756,-2.1767774,-1.3421485
22,2018-08-31,0.5020756,-0.62672365,-0.28492782
23,2018-08-31,0.5020756,-0.84952337,-0.96995497
0,2018-09-01,0.47588363,-1.156498,-1.5850501
1,2018-09-01,0.47588363,-0.5639032,0.115750186
2,2018-09-01,0.47588363,-1.8772458,-1.3017449
3,2018-09-01,0.47588363,-0.3432349,0.08034549
4,2018-09-01,0.47588363,0.6966233,-3.3632302
5,2018-09-01,0.47588363,0.8105678,-0.12923032
6,2018-09-01,0.47588363,-0.13365555,-1.0671297
7,2018-09-01,0.47588363,-1.0271535,-1.1581647
8,2018-09-01,0.47588363,-0.6580563,-0.30740204
9,2018-09-01,0.47588363,0.62505144,-2.8517506
10,2018-09-01,0.47588363,0.08727656,-0.5395472
11,2018-09-01,0.47588363,-0.37270358,-0.14881013
12,2018-09-01,0.47588363,0.54904455,0.6993824
13,2018-09-01,0.47588363,-0.997883,-1.5669155
14,2018-09-01,0.47588363,-0.8706039,0.04665227
15,2018-09-01,0.47588363,1.426698,-0.33605996
16,2018-09-01,0.47588363,0.41623545,0.81672597
17,2018-09-01,0.47588363,-0.08871068,0.15144487
18,2018-09-01,0.47588363,-0.97452515,-0.48562342
19,2018-09-01,0.47588363,-0.29150805,0.1992954
20,2018-09-01,0.47588363,0.56777066,0.6896724
21,2018-09-01,0.47588363,-2.0959432,-1.2814138
22,2018-09-01,0.47588363,-1.0332524,-0.4985161
23,2018-09-01,0.47588363,-0.57516557,-0.6107064
0,2018-09-02,0.5741399,-1.019703,-0.82691854
1,2018-09-02,0.5741399,-0.6029313,0.15939508
2,2018-09-02,0.5741399,-2.0685487,-1.216414
3,2018-09-02,0.5741399,-0.38960424,-0.15870006
4,2018-09-02,0.5741399,0.68621016,-3.4341643
5,2018-09-02,0.5741399,0.79248995,-0.5636324
6,2018-09-02,0.5741399,-0.3780758,-1.9251848
7,2018-09-02,0.5741399,-0.9898559,-0.5928875
8,2018-09-02,0.5741399,-0.9633949,-0.19253655
9,2018-09-02,0.5741399,0.6344732,-2.5898879
10,2018-09-02,0.5741399,0.15329644,-0.6277984
11,2018-09-02,0.5741399,-0.44791403,0.07094519
12,2018-09-02,0.5741399,0.4517076,0.75723565
13,2018-09-02,0.5741399,-0.91950387,-1.2685324
14,2018-09-02,0.5741399,-0.26013133,0.3379498
15,2018-09-02,0.5741399,1.4169316,0.18088853
16,2018-09-02,0.5741399,0.30915603,0.5328148
17,2018-09-02,0.5741399,0.069368444,0.5347898
18,2018-09-02,0.5741399,-0.98144203,-0.2211987
19,2018-09-02,0.5741399,-0.37839603,0.103436686
20,2018-09-02,0.5741399,0.57538486,0.6426266
21,2018-09-02,0.5741399,-2.153257,-1.5211781
22,2018-09-02,0.5741399,-1.1116935,-0.53702676
23,2018-09-02,0.5741399,-0.5725414,-0.81508774
0,2018-09-03,0.70972425,-1.1969754,-1.4330602
1,2018-09-03,0.70972425,-0.5392099,0.08424312
2,2018-09-03,0.70972425,-1.8271017,-1.1564077
3,2018-09-03,0.70972425,-0.13129517,0.49647784
4,2018-09-03,0.70972425,1.4363482,1.1593219
5,2018-09-03,0.70972425,1.1100483,0.5829541
6,2018-09-03,0.70972425,1.2170686,2.0846894
7,2018-09-03,0.70972425,-1.1090817,-0.42239833
8,2018-09-03,0.70972425,-0.79055345,-0.11535454
9,2018-09-03,0.70972425,0.7779212,-0.7563826
10,2018-09-03,0.70972425,0.7507271,0.9543982
11,2018-09-03,0.70972425,-0.43649936,-0.18657014
12,2018-09-03,0.70972425,0.43776417,0.66556937
13,2018-09-03,0.70972425,-0.3369713,0.0022187512
14,2018-09-03,0.70972425,-0.31234634,-0.030115485
15,2018-09-03,0.70972425,1.5855404,0.005813554
16,2018-09-03,0.70972425,0.29732984,0.32834545
17,2018-09-03,0.70972425,0.6170541,1.537124
18,2018-09-03,0.70972425,-0.99473584,-0.28329495
19,2018-09-03,0.70972425,-0.40525615,0.14165947
20,2018-09-03,0.70972425,1.0570502,0.94141984
21,2018-09-03,0.70972425,-2.1946206,-1.6947423
22,2018-09-03,0.70972425,-0.6017183,-0.3390096
23,2018-09-03,0.70972425,-0.7280276,-1.3819234
0,2018-09-04,0.9092561,-1.0322201,-0.6903797
1,2018-09-04,0.9092561,-0.60551876,0.029483557
2,2018-09-04,0.9092561,-2.2856536,-1.1672689
3,2018-09-04,0.9092561,-0.07795663,0.61386013
4,2018-09-04,0.9092561,1.4988323,1.5076392
5,2018-09-04,0.9092561,1.1566457,0.62884384
6,2018-09-04,0.9092561,1.2857925,1.9748883
7,2018-09-04,0.9092561,-1.1802361,-0.6219672
8,2018-09-04,0.9092561,-1.0604919,-0.059936967
9,2018-09-04,0.9092561,0.8686303,-0.1999189
10,2018-09-04,0.9092561,1.0282261,1.2863145
11,2018-09-04,0.9092561,-0.5041933,-0.16027941
