meter_id,meter_column,daily_instances,missing_fraction,zero_fraction,mean_w,median_w,std_w,p99_w,max_w,robust_z_mean_w,retain_decision,decision_note
10,4db83178615678a918dfa6a38ae6e23de7a2d39a,372,0.0,0.0,36.10198085645621,34.528554916381836,10.383277626818815,57.93837856292724,64.00394439697266,1.0328535018224736,retain,complete daily coverage; no structural missingness or all-zero meter
11,5e9c55269b890ad82c8ebbd146ea2a563fe768ce,372,0.0,0.0,22.422054253064605,21.016305923461914,7.52863213281626,44.06532070159912,55.511390686035156,-0.054211221006745365,retain,complete daily coverage; no structural missingness or all-zero meter
12,75d0930659fc8dcdaffed6c60d5871a969a76a87,372,0.0,0.0,35.09187993022703,34.49344444274902,10.77292938878603,63.00954948425293,82.19255828857422,0.9525866177056665,retain,complete daily coverage; no structural missingness or all-zero meter
13,7bf877fd51c1c6db07c1fb0255eac4540030f28f,372,0.0,0.0,19.957306046960174,19.687527656555176,4.612107061189328,30.35858812332153,36.680946350097656,-0.2500705193196801,retain,complete daily coverage; no structural missingness or all-zero meter
14,7ebc4dd008e424c2510c6581a195524563b00ee9,372,0.0,0.0,22.105333567440084,21.263638496398926,7.078357717675215,42.099919395446754,50.14994430541992,-0.07937918384123456,retain,complete daily coverage; no structural missingness or all-zero meter
15,89819f031b89125c8c4b364317478f078925fe38,372,0.0,0.0,51.97340100341373,52.57336235046387,8.18849931586589,69.44629432678222,78.36105346679688,2.294063553832616,retain,complete daily coverage; no structural missingness or all-zero meter
16,a0ab25616dde3d31062ade71f866faa3b1e8e18f,372,0.0,0.0,36.97731934514524,35.69133377075195,12.77745825759848,70.20575920104973,89.38783264160156,1.1024115937023362,retain,complete daily coverage; no structural missingness or all-zero meter
17,a4656735af4aa0ba2e4758f8d4f6e411cfc55097,372,0.0,0.0,37.519405490822265,37.71591567993164,16.14139527014493,75.61998222351066,99.36189270019531,1.1454880474571287,retain,complete daily coverage; no structural missingness or all-zero meter
18,a52f9650e9aa3d60e43792eb2574e0e76bb00aaf,372,0.0,0.0,19.556277499243777,18.232194900512695,8.348282651433612,43.70550003051756,50.93511199951172,-0.28193794081314394,retain,complete daily coverage; no structural missingness or all-zero meter
19,b3e1bf5d8d0337b42f972ca11beafea062bd99be,372,0.0,0.0,26.09610369246066,24.796555519104004,9.70944249319424,50.21161098480224,59.322166442871094,0.2377442588207357,retain,complete daily coverage; no structural missingness or all-zero meter
20,c41c064e0aa78571b028c8673ebe7abd59d0e6d8,372,0.0,0.0,44.39526889454507,44.977277755737305,10.44797052430842,67.04706420898437,75.7784423828125,1.691873182544504,retain,complete daily coverage; no structural missingness or all-zero meter
21,c55a669913fe883d9ec913821688656ea8e4c884,372,0.0,0.0,9.500616820268734,9.183555603027344,2.979898292345823,17.352143650054927,22.209611892700195,-1.08100319209487,retain,complete daily coverage; no structural missingness or all-zero meter
22,da3ac5e45e56e0e2263f39f38c033366f5d1e0c4,372,0.0,0.0,16.908533537419892,16.34708309173584,5.543531941626905,30.672109489440906,37.42588806152344,-0.49233885446053316,retain,complete daily coverage; no structural missingness or all-zero meter
